trainingdata,dim,n,m,track,rank,step,l,acc,model,C
jrnd,30,6,5,cma,p,1,4550,57.1429,PREF,10
jrnd,30,6,5,cma,p,2,4580,64.1921,PREF,10
jrnd,30,6,5,cma,p,3,4650,66.6667,PREF,10
jrnd,30,6,5,cma,p,4,4680,64.5299,PREF,10
jrnd,30,6,5,cma,p,5,4650,61.0753,PREF,10
jrnd,30,6,5,cma,p,6,4610,65.9436,PREF,10
jrnd,30,6,5,cma,p,7,4510,62.7494,PREF,10
jrnd,30,6,5,cma,p,8,4550,60.6593,PREF,10
jrnd,30,6,5,cma,p,9,4440,63.5135,PREF,10
jrnd,30,6,5,cma,p,10,4290,65.2681,PREF,10
jrnd,30,6,5,cma,p,11,4250,63.0588,PREF,10
jrnd,30,6,5,cma,p,12,4280,58.4112,PREF,10
jrnd,30,6,5,cma,p,13,4070,61.4251,PREF,10
jrnd,30,6,5,cma,p,14,4020,66.4179,PREF,10
jrnd,30,6,5,cma,p,15,4026,69.4983,PREF,10
jrnd,30,6,5,cma,p,16,3950,69.4177,PREF,10
jrnd,30,6,5,cma,p,17,3898,69.7794,PREF,10
jrnd,30,6,5,cma,p,18,3774,66.5607,PREF,10
jrnd,30,6,5,cma,p,19,3592,71.1581,PREF,10
jrnd,30,6,5,cma,p,20,3708,76.6451,PREF,10
jrnd,30,6,5,cma,p,21,3506,79.5779,PREF,10
jrnd,30,6,5,cma,p,22,3254,81.7455,PREF,10
jrnd,30,6,5,cma,p,23,3058,83.7148,PREF,10
jrnd,30,6,5,cma,p,24,2666,85.0713,PREF,10
jrnd,30,6,5,cma,p,25,2066,86.9313,PREF,10
jrnd,30,6,5,cma,p,26,1272,95.4403,PREF,10
jrnd,30,6,5,cma,p,27,562,96.7972,PREF,10
jrnd,30,6,5,cma,p,28,152,100.0000,PREF,10
jrnd,30,6,5,cma,p,29,16,100.0000,PREF,10
jrnd,30,6,5,cma,a,1,11772,53.8056,PREF,10
jrnd,30,6,5,cma,a,2,11908,63.0668,PREF,10
