trainingdata,dim,n,m,track,rank,step,l
jrndn,30,6,5,cma,b,30,0
jrndn,30,6,5,cma,f,1,5188
jrndn,30,6,5,cma,f,2,5070
jrndn,30,6,5,cma,f,3,5180
jrndn,30,6,5,cma,f,4,5122
jrndn,30,6,5,cma,f,5,5212
jrndn,30,6,5,cma,f,6,5104
jrndn,30,6,5,cma,f,7,4910
jrndn,30,6,5,cma,f,8,4826
jrndn,30,6,5,cma,f,9,5040
jrndn,30,6,5,cma,f,10,4990
jrndn,30,6,5,cma,f,11,4864
jrndn,30,6,5,cma,f,12,4642
jrndn,30,6,5,cma,f,13,4726
jrndn,30,6,5,cma,f,14,4674
jrndn,30,6,5,cma,f,15,4644
jrndn,30,6,5,cma,f,16,4716
jrndn,30,6,5,cma,f,17,4734
jrndn,30,6,5,cma,f,18,4690
jrndn,30,6,5,cma,f,19,4594
jrndn,30,6,5,cma,f,20,4624
jrndn,30,6,5,cma,f,21,4694
jrndn,30,6,5,cma,f,22,4652
jrndn,30,6,5,cma,f,23,4312
jrndn,30,6,5,cma,f,24,3938
jrndn,30,6,5,cma,f,25,3290
jrndn,30,6,5,cma,f,26,2392
jrndn,30,6,5,cma,f,27,1514
jrndn,30,6,5,cma,f,28,676
jrndn,30,6,5,cma,f,29,154
jrndn,30,6,5,cma,f,30,0
jrndn,30,6,5,cma,p,1,4580
jrndn,30,6,5,cma,p,2,4440
jrndn,30,6,5,cma,p,3,4570
jrndn,30,6,5,cma,p,4,4570
jrndn,30,6,5,cma,p,5,4650
jrndn,30,6,5,cma,p,6,4540
jrndn,30,6,5,cma,p,7,4400
jrndn,30,6,5,cma,p,8,4340
jrndn,30,6,5,cma,p,9,4510
jrndn,30,6,5,cma,p,10,4400
jrndn,30,6,5,cma,p,11,4350
jrndn,30,6,5,cma,p,12,4180
jrndn,30,6,5,cma,p,13,4240
jrndn,30,6,5,cma,p,14,4220
jrndn,30,6,5,cma,p,15,4230
jrndn,30,6,5,cma,p,16,4370
jrndn,30,6,5,cma,p,17,4400
jrndn,30,6,5,cma,p,18,4388
jrndn,30,6,5,cma,p,19,4346
jrndn,30,6,5,cma,p,20,4352
jrndn,30,6,5,cma,p,21,4472
jrndn,30,6,5,cma,p,22,4410
jrndn,30,6,5,cma,p,23,4072
jrndn,30,6,5,cma,p,24,3798
jrndn,30,6,5,cma,p,25,3192
jrndn,30,6,5,cma,p,26,2342
jrndn,30,6,5,cma,p,27,1494
jrndn,30,6,5,cma,p,28,676
jrndn,30,6,5,cma,p,29,154
jrndn,30,6,5,cma,p,30,0
jrndn,30,6,5,mwr,b,1,6732
jrndn,30,6,5,mwr,b,2,6472
jrndn,30,6,5,mwr,b,3,6434
jrndn,30,6,5,mwr,b,4,6288
jrndn,30,6,5,mwr,b,5,6104
jrndn,30,6,5,mwr,b,6,6150
jrndn,30,6,5,mwr,b,7,6380
jrndn,30,6,5,mwr,b,8,6106
jrndn,30,6,5,mwr,b,9,6022
jrndn,30,6,5,mwr,b,10,5842
jrndn,30,6,5,mwr,b,11,5586
jrndn,30,6,5,mwr,b,12,5504
jrndn,30,6,5,mwr,b,13,5652
jrndn,30,6,5,mwr,b,14,5502
jrndn,30,6,5,mwr,b,15,5148
jrndn,30,6,5,mwr,b,16,5244
jrndn,30,6,5,mwr,b,17,5426
jrndn,30,6,5,mwr,b,18,5164
jrndn,30,6,5,mwr,b,19,4992
jrndn,30,6,5,mwr,b,20,4872
jrndn,30,6,5,mwr,b,21,4624
jrndn,30,6,5,mwr,b,22,4628
jrndn,30,6,5,mwr,b,23,4588
